Date,Price,Open,High,Low,Vol.,Change %
2016-09-23,"6,909.43","6,911.40","6,920.23","6,882.62",760910000.0,-0.03%
2016-09-22,"6,911.40","6,834.77","6,937.33","6,834.77",756010000.0,1.12%
2016-09-21,"6,834.77","6,830.79","6,879.81","6,830.47",722080000.0,0.06%
2016-09-20,"6,830.79","6,813.55","6,869.10","6,798.02",715570000.0,0.25%
2016-09-19,"6,813.55","6,710.28","6,813.95","6,710.28",706090000.0,1.54%
2016-09-16,"6,710.28","6,730.30","6,746.29","6,692.73",1390000000.0,-0.30%
2016-09-15,"6,730.30","6,673.31","6,736.84","6,654.82",770120000.0,0.85%
2016-09-14,"6,673.31","6,665.63","6,720.29","6,665.63",695110000.0,0.12%
2016-09-13,"6,665.63","6,700.90","6,724.74","6,665.63",864670000.0,-0.53%
2016-09-12,"6,700.90","6,776.95","6,776.95","6,654.48",887970000.0,-1.12%
2016-09-09,"6,776.95","6,858.70","6,862.38","6,762.30",792450000.0,-1.19%
2016-09-08,"6,858.70","6,846.58","6,889.64","6,819.82",807430000.0,0.18%
2016-09-07,"6,846.58","6,826.05","6,856.12","6,814.87",938660000.0,0.30%
2016-09-06,"6,826.05","6,879.42","6,887.92","6,818.96",687090000.0,-0.78%
2016-09-05,"6,879.42","6,894.60","6,910.66","6,867.08",556660000.0,-0.22%
2016-09-02,"6,894.60","6,745.97","6,928.25","6,745.97",1180000000.0,2.20%
2016-09-01,"6,745.97","6,781.51","6,826.22","6,723.21",991760000.0,-0.52%
2016-08-31,"6,781.51","6,820.79","6,832.89","6,779.54",942420000.0,-0.58%
2016-08-30,"6,820.79","6,838.05","6,851.83","6,808.07",741100000.0,-0.25%
2016-08-29,"6,838.05","6,816.90","6,857.29","6,798.82",532510000.0,0.31%
2016-08-26,"6,838.05","6,816.90","6,857.29","6,798.82",532510000.0,0.31%
2016-08-25,"6,816.90","6,835.78","6,836.22","6,779.15",657670000.0,-0.28%
2016-08-24,"6,835.78","6,868.51","6,868.51","6,825.22",748050000.0,-0.48%
2016-08-23,"6,868.51","6,828.54","6,885.39","6,828.54",722220000.0,0.59%
2016-08-22,"6,828.54","6,858.95","6,884.61","6,812.07",616670000.0,-0.44%
2016-08-19,"6,858.95","6,868.96","6,871.48","6,840.94",702480000.0,-0.15%
2016-08-18,"6,868.96","6,859.15","6,893.35","6,850.61",579270000.0,0.14%
2016-08-17,"6,859.15","6,893.92","6,920.76","6,849.90",716290000.0,-0.50%
2016-08-16,"6,893.92","6,941.19","6,941.19","6,893.92",643220000.0,-0.68%
2016-08-15,"6,941.19","6,916.02","6,955.34","6,907.17",551500000.0,0.36%
2016-08-12,"6,916.02","6,914.71","6,931.04","6,896.04",686790000.0,0.02%
2016-08-11,"6,914.71","6,866.42","6,914.71","6,812.73",758100000.0,0.70%
2016-08-10,"6,866.42","6,851.30","6,866.42","6,820.04",736640000.0,0.22%
2016-08-09,"6,851.30","6,809.13","6,863.10","6,807.76",869310000.0,0.62%
2016-08-08,"6,809.13","6,793.47","6,829.47","6,781.47",754480000.0,0.23%
2016-08-05,"6,793.47","6,740.16","6,802.41","6,738.57",880800000.0,0.79%
